codigo_inmueble,sector,barrio,estrato,valor_arriendo,valor_administracion,area_construida,area_privada,antiguedad,habitaciones,banos,parqueadero,url
MC26184030,Cedritos,Cedritos,4,1750000,,56,51,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-acacias-usaquen-1-habitaciones-2-banos-1-garajes/MC26184030
11049-M3466836,Santa Bárbara,San Patricio,6,3614000,286000,60,60,Entre 0 y 5 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-patricio-1-habitaciones-2-banos-2-garajes/11049-M3466836
MC3610958,Santa Bárbara,Santa Barbara Oriental Chicó,5,2100000,,50,50,Entre 5 y 10 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-oriental-1-habitaciones-1-banos-1-garajes/MC3610958
MC4337564,Chicó,Chico Virrey Chicó,6,7000000,,118,128,Entre 5 y 10 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-2-habitaciones-2-banos-2-garajes/MC4337564
MC4331800,Cedritos,Cedro Golf,4,2200000,160000,80,80,Más de 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-salazar-2-habitaciones-2-banos-2-garajes/MC4331800
MC4337514,Chapinero Alto,Chapinero Alto Chicó,6,3300000,900000,105,105,Entre 10 y 20 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-emaus-2-habitaciones-2-banos-2-garajes/MC4337514
MC4305423,Chapinero,San Luis Galerias Chapinero Siete De Agosto Teusaquillo,4,1350000,,35,35,Remodelado,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-luis-1-habitaciones-1-banos/MC4305423
MC4301143,Cedritos,Belmira,4,2200000,,78,72,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-madeiras-2-habitaciones-2-banos-1-garajes/MC4301143
MC4305421,Chapinero,San Luis Galerias Chapinero Siete De Agosto,4,1900000,,70,70,Más de 20 años,2,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-luis-2-habitaciones-1-banos/MC4305421
MC4291405,Centro Nariño,Gran América,4,1330000,,22,22,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-gran-america-1-habitaciones-1-banos/MC4291405
MC4264588,Cedritos,Belmira Cedritos,4,1450000,368000,53,53,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-acasias-1-habitaciones-2-banos-1-garajes/MC4264588
MC4319353,Santa Bárbara,Chico,6,5900000,,85,85,Entre 0 y 5 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/MC4319353
MC4357277,Santa Bárbara,Santa Barbara,6,1600000,249000,45,45,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-central-1-habitaciones-1-banos-1-garajes/MC4357277
MC4263208,Santa Bárbara,Santa Bibiana Chicó,6,2600000,,60,60,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-1-habitaciones-2-banos-1-garajes/MC4263208
MC4261562,Cedritos,Las Acacias,4,2000000,,60,57,Entre 10 y 20 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-las-acasias-1-habitaciones-2-banos-1-garajes/MC4261562
MC4303239,La Soledad,Teusaquillo,4,1650000,,30,30,Entre 10 y 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-teusaquillo-1-habitaciones-1-banos-1-garajes/MC4303239
MC4461772,Centro Nariño,Quinta Paredes,4,2450000,,63,63,Entre 5 y 10 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-quinta-paredes-2-habitaciones-2-banos-1-garajes/MC4461772
MC4457598,Normandía,Normandia,4,1190000,,38,35,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-normandia-1-habitaciones-1-banos/MC4457598
MC4476289,Santa Bárbara,Santa Barbara Chicó,5,4100000,,80,84,Entre 5 y 10 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-3-banos-2-garajes/MC4476289
MC4480332,Santa Bárbara,Santa Barbara Central Chicó,5,4500000,,80,80,Entre 0 y 5 años,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-2-habitaciones-2-banos-2-garajes/MC4480332
MC4453527,Niza Alhambra,Puente Largo Santa Bárbara,5,1700000,350000,50,50,Más de 20 años,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-puente-largo-1-habitaciones-1-banos-1-garajes/MC4453527
MC4478772,La Soledad,La Soledad,4,950000,,42,42,Entre 10 y 20 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-soledad-1-habitaciones-1-banos/MC4478772
MC4471785,Niza Alhambra,Pasadena,5,2700000,,48,48,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-estoril-1-habitaciones-2-banos-1-garajes/MC4471785
MC4472875,Cedritos,Bosque De Pinos,4,1300000,200000,30,30,Entre 0 y 5 años,1,1,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-de-pinos-1-habitaciones-1-banos/MC4472875
MC4460842,Chapinero Alto,Chapinero Alto,4,1450000,414000,51,40,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-pardo-rubio-1-habitaciones-2-banos-1-garajes/MC4460842
MC4460414,Cedritos,Cedro Golf Cedritos,4,2600000,,88,88,Remodelado,2,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-cedro-madeiras-2-habitaciones-2-banos-2-garajes/MC4460414
MC4466770,Country,La Calleja Alta Country,6,3400000,,90,82,Más de 20 años,2,3,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-country-club-2-habitaciones-3-banos-1-garajes/MC4466770
MC4450557,Chapinero Alto,Bosque Calderon Chapinero Alto,4,2800000,,72,72,Entre 10 y 20 años,2,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bosque-calderon-2-habitaciones-2-banos-1-garajes/MC4450557
MC4461098,Chicó,Chicó Norte,6,4500000,,75.33,65.5,Entre 0 y 5 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-iii-2-habitaciones-3-banos-2-garajes/MC4461098
MC4478574,Orquídeas,Orquideas Cll 160 Av 19 Cedritos,4,1350000,,45,45,Más de 20 años,2,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-cristobal-norte-2-habitaciones-1-banos-1-garajes/MC4478574
MC4449101,Santa Bárbara,Santa Paula,6,2000000,450000,50,50,Entre 5 y 10 años,1,2,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-molinos-norte-1-habitaciones-2-banos-2-garajes/MC4449101
MC4475237,Santa Bárbara,Santa Barbara Occidental,5,2400000,500000,54,54,Entre 0 y 5 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-barbara-occidental-1-habitaciones-2-banos-1-garajes/MC4475237
MC4460230,Cedritos,Cedritos,4,1700000,,54,56,Entre 5 y 10 años,1,2,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-caobos-salazar-1-habitaciones-2-banos-1-garajes/MC4460230
MC4449938,Cedritos,Cedritos,4,1300000,,40,40,Remodelado,1,1,1,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-acacias-usaquen-1-habitaciones-1-banos-1-garajes/MC4449938
MC4451625,Santa Bárbara,San Patricio Chicó,6,5000000,,103,100,Entre 10 y 20 años,2,3,2,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-santa-bibiana-2-habitaciones-3-banos-2-garajes/MC4451625
